Front,Back,Tags
"Create a Pod named nginx with image nginx","kubectl run nginx --image=nginx --restart=Never","imperative,pods,basic"
"Create a Deployment named web with nginx image and 3 replicas","kubectl create deployment web --image=nginx --replicas=3","imperative,deployments,scaling"
"Scale deployment web to 5 replicas","kubectl scale deployment web --replicas=5","imperative,deployments,scaling"
"Update deployment web to use nginx:1.20 image","kubectl set image deployment/web nginx=nginx:1.20","imperative,deployments,updates"
"Rollback deployment web to previous version","kubectl rollout undo deployment/web","imperative,deployments,rollback"
"Check rollout status of deployment web","kubectl rollout status deployment/web","imperative,deployments,status"
"Create a Job named pi that calculates pi","kubectl create job pi --image=perl -- perl -Mbignum=bpi -wle 'print bpi(2000)'","imperative,jobs,batch"
"Create a CronJob that runs every minute","kubectl create cronjob hello --image=busybox --schedule='*/1 * * * *' -- echo hello","imperative,cronjobs,scheduling"
"Delete a CronJob named backup","kubectl delete cronjob backup","imperative,cronjobs,deletion"
"Expose deployment web as NodePort service on port 80","kubectl expose deployment web --type=NodePort --port=80","imperative,services,expose"
"Create a Service named my-service for pods with label app=web","kubectl create service clusterip my-service --tcp=80:8080","imperative,services,creation"
"Create a ConfigMap named config from literal values","kubectl create configmap config --from-literal=key1=value1 --from-literal=key2=value2","imperative,configmaps,creation"
"Create a ConfigMap from a file","kubectl create configmap app-config --from-file=app.properties","imperative,configmaps,file"
"Create a Secret named mysecret with username and password","kubectl create secret generic mysecret --from-literal=username=admin --from-literal=password=secret","imperative,secrets,creation"
"Create a Pod that uses ConfigMap as environment variables","kubectl run pod --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add: envFrom: - configMapRef: name: config","imperative,pods,configmap"
"Create a Pod with environment variable from Secret","kubectl run pod --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add env from secret","imperative,pods,secrets"
"Get Pod logs","kubectl logs <pod-name>","imperative,troubleshooting,logs"
"Get logs from specific container in Pod","kubectl logs <pod-name> -c <container-name>","imperative,troubleshooting,multicontainer"
"Execute command in Pod","kubectl exec -it <pod-name> -- /bin/bash","imperative,troubleshooting,exec"
"Port forward to access Pod locally","kubectl port-forward <pod-name> 8080:80","imperative,troubleshooting,access"
"Get detailed information about a Pod","kubectl describe pod <pod-name>","imperative,troubleshooting,describe"
"Get all resources in namespace","kubectl get all","imperative,inspection,all"
"Get Pods with more information","kubectl get pods -o wide","imperative,inspection,pods"
"Get Pod YAML output","kubectl get pod <pod-name> -o yaml","imperative,inspection,yaml"
"Create a namespace","kubectl create namespace dev","imperative,namespaces,creation"
"Set default namespace for context","kubectl config set-context --current --namespace=dev","imperative,namespaces,context"
"Create Pod with resource limits","kubectl run nginx --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add: resources: limits: memory: 128Mi, cpu: 500m","imperative,pods,resources"
"Create Pod with security context","kubectl run nginx --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add securityContext: runAsUser: 1001","imperative,pods,security"
"Create NetworkPolicy to deny all ingress","kubectl create -f - <<EOF\napiVersion: networking.k8s.io/v1\nkind: NetworkPolicy\nmetadata:\n  name: deny-all\nspec:\n  podSelector: {}\n  policyTypes: [""Ingress""]\nEOF","imperative,networkpolicy,security"
"Create ServiceAccount","kubectl create serviceaccount my-sa","imperative,rbac,serviceaccount"
