Front,Back,Tags
"Construir imagen Docker con tag específico","docker build -t myapp:v1.0 .","docker,build,exam-hands-on"
"Construir imagen y ejecutar en puerto 8080","docker build -t app . && docker run -d -p 8080:80 app","docker,build-run,exam-hands-on"
"Crear Dockerfile básico para app Python","FROM python:3.11-alpine WORKDIR /app COPY requirements.txt . RUN pip install -r requirements.txt COPY . . EXPOSE 5000 CMD [""python"", ""app.py""]","dockerfile,python,exam-yaml"
"Crear usuario no-root en Dockerfile Alpine","RUN adduser -D appuser USER appuser","dockerfile,security,exam-yaml"
"Multi-stage: etapa build y etapa final","FROM node:18 AS builder WORKDIR /app COPY package*.json ./ RUN npm ci\n... FROM nginx:alpine COPY --from=builder /app/dist /usr/share/nginx/html","dockerfile,multistage,exam-yaml"
"Copiar archivos con ownership correcto","COPY --chown=user:group src/ /app/","dockerfile,ownership,exam-yaml"
"Ejecutar contenedor con usuario específico","docker run --user 1001:1001 myapp","docker,security,exam-hands-on"
"Ejecutar contenedor en modo read-only","docker run --read-only --tmpfs /tmp myapp","docker,security,exam-hands-on"
"Escanear imagen con Trivy","docker run --rm -v /var/run/docker.sock:/var/run/docker.sock aquasec/trivy image myapp:latest","docker,security,exam-hands-on"
"Ver layers de imagen Docker","docker history myapp:latest","docker,inspection,exam-hands-on"
"¿Cómo hacer un contenedor de solo lectura?","docker run --read-only --tmpfs /tmp imagen","security,runtime,readonly"
"¿Cómo eliminar todas las capacidades Linux?","docker run --cap-drop ALL imagen","security,capabilities,linux"
"¿Qué herramienta usar para escanear vulnerabilidades?","Trivy: docker run --rm -v /var/run/docker.sock:/var/run/docker.sock aquasec/trivy image imagen","security,scanning,tools"
"¿Cómo crear un Pod simple con imagen nginx?","kubectl run mypod --image=nginx","pods,basic,imperative"
"¿Cómo crear un Pod con un puerto expuesto?","kubectl run mypod --image=nginx --port=80","pods,ports,imperative"
"¿Cómo crear un Pod con variables de entorno?","kubectl run mypod --image=nginx --env=""MODE=prod""","pods,environment,imperative"
"¿Cómo crear un Pod con múltiples contenedores usando overrides?","kubectl run multipod --image=nginx --overrides='{""spec"":{""containers"":[{""name"":""nginx"",""image"":""nginx""},{""name"":""sidecar"",""image"":""busybox""}]}}'","pods,multi-container,overrides"
"¿Cómo generar YAML para un pod multi-contenedor?","kubectl run multi-pod --image=nginx --dry-run=client -o yaml > multi-pod.yaml","pods,yaml,dry-run"
"¿Cómo crear un Deployment básico?","kubectl create deployment myapp --image=nginx","deployments,basic,imperative"
"¿Cómo crear un Deployment con réplicas específicas?","kubectl create deployment myapp --image=nginx --replicas=3","deployments,replicas,imperative"
"¿Cómo escalar un Deployment existente?","kubectl scale deployment myapp --replicas=5","deployments,scaling,imperative"
