Front,Back,Tags
"¿Qué directiva de Dockerfile se usa para cambiar el directorio de trabajo?","WORKDIR /app","dockerfile,basics,commands"
"¿Cómo copiar archivos con el usuario correcto en un Dockerfile?","COPY --chown=user:group source dest","dockerfile,security,ownership"
"¿Qué directiva de Dockerfile ejecuta comandos durante la construcción?","RUN comando","dockerfile,basics,build"
"¿Cómo crear un usuario no-root en Dockerfile con Alpine?","RUN adduser -D username","dockerfile,security,alpine"
"¿Qué hace la directiva EXPOSE en Dockerfile?","Documenta qué puerto usa la aplicación (no lo publica automáticamente)","dockerfile,ports,documentation"
"¿Cómo implementar un health check en Dockerfile?","HEALTHCHECK --interval=30s --timeout=3s CMD curl -f http://localhost/health || exit 1","dockerfile,monitoring,healthcheck"
"¿Cuál es la diferencia entre COPY y ADD en Dockerfile?","COPY solo copia archivos/directorios, ADD puede extraer archivos tar y descargar URLs","dockerfile,commands,difference"
"¿Cómo optimizar capas en Dockerfile?","Combinar comandos RUN con &&, limpiar caches, copiar requirements antes que código","dockerfile,optimization,layers"
"¿Qué es un multi-stage build?","Técnica para crear imágenes finales pequeñas usando múltiples etapas FROM","multistage,optimization,build"
"¿Cómo nombrar una etapa en multi-stage build?","FROM imagen AS nombre-etapa","multistage,syntax,naming"
"¿Cómo copiar archivos de una etapa anterior?","COPY --from=builder /app/binary /","multistage,copy,stages"
"¿Cuál es el beneficio principal de multi-stage builds?","Reducir el tamaño de la imagen final (80-90% de reducción típica)","multistage,benefits,size"
"¿Cómo construir solo una etapa específica?","docker build --target stage-name .","multistage,commands,docker"
"¿Qué imagen base usar para imágenes finales pequeñas?","alpine, distroless, o scratch","multistage,base-images,optimization"
"¿Cómo usar build arguments en multi-stage?","ARG BUILD_VERSION\nFROM node:${BUILD_VERSION}","multistage,arguments,flexibility"
"¿Qué es una imagen distroless?","Imagen que contiene solo la aplicación y sus dependencias runtime, sin OS","security,distroless,minimal"
"¿Cómo ejecutar un contenedor con usuario no-root?","docker run --user 1001:1001 imagen","security,runtime,user"
